Debiasing method,heuristic,value
None,ans-len,12.51
None,word-dist,8.62
None,cos-sim,2.63
None,sim-ents,2.48
None,sim-word,1.04
None,subj-pos,1.01
None,ans-pos,0
None,average,4.041429
ReSam,ans-len,6.87
ReSam,word-dist,6.70
ReSam,cos-sim,1.99
ReSam,sim-ents,1.62
ReSam,sim-word,0.23
ReSam,subj-pos,0
ReSam,ans-pos,0
ReSam,average,2.487143
LMix,ans-len,6.36
LMix,word-dist,0
LMix,cos-sim,0
LMix,sim-ents,2.87
LMix,sim-word,0.68
LMix,subj-pos,4.41
LMix,ans-pos,0
LMix,average,2.05
CReg,ans-len,11.18
CReg,word-dist,9.68
CReg,cos-sim,2.43
CReg,sim-ents,2.37
CReg,sim-word,1.86
CReg,subj-pos,0.24
CReg,ans-pos,0
CReg,average,3.96