Debiasing method,heuristic,value,quantile
None,ans-len,12.51,69.01
None,word-dist,8.62,70.69
None,cos-sim,2.63,75.44
None,sim-ents,2.48,78.57
None,sim-word,1.04,77.5
None,subj-pos,1.01,79.19
None,ans-pos,0,82.19
None,average,4.041429,76.08428571
ReSam,ans-len,6.87,69.75
ReSam,word-dist,6.70,69.25
ReSam,cos-sim,1.99,73.57
ReSam,sim-ents,1.62,79.45
ReSam,sim-word,0.23,76.94
ReSam,subj-pos,0,77.44
ReSam,ans-pos,0,0
ReSam,average,2.487143,74.4
LMix,ans-len,6.36,18.52
LMix,word-dist,0,38.38
LMix,cos-sim,0,21.88
LMix,sim-ents,2.87,30.76
LMix,sim-word,0.68,20.88
LMix,subj-pos,4.41,24.26
LMix,ans-pos,0,0
LMix,average,2.05,25.78
CReg,ans-len,11.18,70.89
CReg,word-dist,9.68,71.63
CReg,cos-sim,2.43,76.44
CReg,sim-ents,2.37,79.51
CReg,sim-word,1.86,78.76
CReg,subj-pos,0.24,79.13
CReg,ans-pos,0,0
CReg,average,3.96,76.06
Human,ans-len,13.55,69.76
Human,word-dist,0.30,81.07
Human,cos-sim,0.55,79.88
Human,sim-ents,0.74,82.51
Human,sim-word,0.42,81.5
Human,subj-pos,0,83.94
Human,ans-pos,0,84
Human,average,2.22,80.38